Alter,Zivilstand,Bildungsniveau,Immobilien,Vermögen,Random,Vermögen,Barvermögen,Faktor Aktien,Aktienvermögen,Säule 3a,Lebensversicherung,Pensionskasse,lohn,Bonus Random,Bonus,Zulagen,Schätzung Objekt,
71,82,90,76,-280455.4242,0.887166546,280455.4242,248810.6699,0.011283345,3164.475434,130000,0,0,0,0.669080312,0,0,1881872.074,0.940936037
45,76,90,90,-279930.191,0.596144624,279930.191,166878.8784,0.040385538,11305.13126,40000,0,0,0,0.170475393,0,0,1072491.44,0.53624572
49,76,90,90,-278117.1133,0.630097606,278117.1133,175240.9274,0.036990239,10287.61859,40000,0,0,0,0.863637442,0,0,823475.7689,0.411737884
42,76,76,90,-274609.647,0.119756401,274609.647,32886.26294,0.08802436,24172.33841,40000,0,0,0,0.256409366,0,0,1449155.697,0.724577849
70,76,90,90,-273091.2456,0.875180865,273091.2456,239004.2327,0.012481913,3408.701295,130000,0,0,0,0.194511781,0,0,1160046.669,0.580023335
39,90,90,90,-271896.1696,0.858095827,271896.1696,233312.9686,0.014190417,3858.320101,20000,0,0,0,0.114703124,0,0,500792.4613,0.250396231
57,82,47,90,-271658.7915,0.263116498,271658.7915,71477.90978,0.07368835,20018.08817,80000,0,0,0,0.967911295,0,0,1288499.666,0.644249833
74,90,90,90,-266943.9709,0.935759929,266943.9709,249795.4712,0.006424007,1714.849974,130000,0,0,0,0.756659782,0,0,701906.4355,0.350953218
35,76,76,90,-264628.17,0.352435925,264628.17,93264.47383,0.064756408,17136.36962,20000,0,0,0,0.11085555,0,0,1013183.835,0.506591917
38,76,90,90,-264085.8838,0.566697162,264085.8838,149656.7209,0.043330284,11442.91629,20000,0,0,0,0.912842249,0,0,1313429.753,0.656714877
50,47,90,76,-261950.845,0.670213878,261950.845,175563.0918,0.032978612,8638.775326,80000,0,0,0,0.075835005,0,0,369931.3733,0.184965687
80,90,90,90,-261529.9763,0.026333475,261529.9763,6886.992984,0.097366653,25464.29834,130000,0,0,0,0.016137826,0,0,617963.1795,0.30898159
58,47,47,76,-259047.7379,0.899603527,259047.7379,233040.2588,0.010039647,2600.747914,80000,0,0,0,0.201110564,0,0,1575353.91,0.787676955
51,90,47,90,-258286.4909,0.415605193,258286.4909,107345.2068,0.058439481,15094.12841,80000,0,0,0,0.351314879,0,0,1506383.632,0.753191816
26,76,47,90,-258185.5369,0.464448516,258185.5369,119913.8894,0.053555148,13827.16476,0,0,0,0,0.853308017,0,0,679846.3551,0.339923178
47,90,47,76,-257431.7932,0.121067586,257431.7932,31166.64575,0.087893241,22626.51475,40000,0,0,0,0.630508586,0,0,1769767.896,0.884883948
40,76,90,90,-255354.7347,0.620099279,255354.7347,158345.2869,0.037990072,9700.944776,40000,0,0,0,0.012701396,0,0,1441350.17,0.720675085
31,47,47,76,-254916.1309,0.104722614,254916.1309,26695.48359,0.089527739,22822.06473,20000,0,0,0,0.49573022,0,0,820834.408,0.410417204
29,82,90,90,-251062.1471,0.478047475,251062.1471,120019.6254,0.052195253,13104.25217,0,0,0,0,0.983478383,0,0,1072791.587,0.536395793
61,82,76,90,-247770.231,0.777146375,247770.231,192553.7369,0.022285362,5521.64941,100000,0,0,0,0.772111072,0,0,975083.1234,0.487541562
40,82,76,90,-246743.6389,0.023676224,246743.6389,5841.95768,0.097632378,24090.16812,40000,0,0,0,0.542725414,0,0,320493.549,0.160246775
56,76,76,90,-246124.273,0.978351844,246124.273,240796.1364,0.002164816,532.8136548,80000,0,0,0,0.143797783,0,0,1006791.117,0.503395558
73,90,47,76,-245640.6492,0.648364221,245640.6492,159264.608,0.035163578,8637.604113,130000,0,0,0,0.365078956,0,0,1038305.082,0.519152541
67,76,47,90,-244161.1286,0.720289933,244161.1286,175866.8029,0.027971007,6829.432577,100000,0,0,0,0.715638485,0,0,1331460.321,0.665730161
55,76,47,90,-241230.0546,0.520396428,241230.0546,125535.2586,0.047960357,11569.4796,80000,0,0,0,0.556340286,0,0,339741.6211,0.169870811
59,90,76,76,-239203.473,0.462884209,239203.473,110723.5104,0.053711579,12847.99626,80000,0,0,0,0.713464435,0,0,1774993.276,0.887496638
45,90,47,76,-237379.4814,0.956707143,237379.4814,227102.6454,0.004329286,1027.683605,40000,0,0,0,0.107592685,0,0,1574577.402,0.787288701
34,90,90,90,-237178.9378,0.011648096,237178.9378,2762.682985,0.09883519,23441.62548,20000,0,0,0,0.307137518,0,0,255065.8036,0.127532902
51,76,47,90,-236818.7779,0.65719452,236818.7779,155636.0032,0.034280548,8118.277474,80000,0,0,0,0.91755482,0,0,304648.0774,0.152324039
77,90,47,90,-236063.6699,0.916488952,236063.6699,216349.7455,0.008351105,1971.392449,130000,0,0,0,0.376346529,0,0,1997321.855,0.998660928
67,47,76,90,-233717.8557,0.073529028,233717.8557,17185.04683,0.092647097,21653.28089,100000,0,0,0,0.851149429,0,0,485534.8023,0.242767401
32,47,90,76,-230339.3103,0.16283531,230339.3103,37507.37303,0.083716469,19283.19373,20000,0,0,0,0.964695322,0,0,418169.1,0.20908455
63,47,47,76,-229706.9841,0.358537751,229706.9841,82358.62543,0.064146225,14734.83587,100000,0,0,0,0.698160449,0,0,856543.9497,0.428271975
60,82,90,90,-227543.9783,0.775521539,227543.9783,176465.2564,0.022447846,5107.872196,100000,0,0,0,0.388975293,0,0,72939.8933,0.036469947
36,47,90,90,-227037.8445,0.967793924,227037.8445,219725.8465,0.003220608,731.199801,20000,0,0,0,0.127024447,0,0,1192053.44,0.59602672
55,47,47,90,-226211.796,0.13910206,226211.796,31466.52675,0.086089794,19474.52692,80000,0,0,0,0.576604301,0,0,1447424.596,0.723712298
77,47,90,90,-224790.9379,0.206353121,224790.9379,46386.31149,0.079364688,17840.46264,130000,0,0,0,0.824962531,0,0,1981225.961,0.990612981
29,82,47,90,-220712.5362,0.183709799,220712.5362,40547.05566,0.08162902,18016.54806,0,0,0,0,0.037105658,0,0,1329033.568,0.664516784
90,82,47,76,-220645.0063,0.643169731,220645.0063,141912.1892,0.035683027,7873.281704,130000,0,0,0,0.313238355,0,0,1238721.974,0.619360987
45,76,90,90,-218467.6759,0.86125414,218467.6759,188156.1903,0.013874586,3031.148568,40000,0,0,0,0.845017864,0,0,1060334.052,0.530167026
53,76,47,76,-218103.4233,0.722445989,218103.4233,157567.9433,0.027755401,6053.548005,80000,0,0,0,0.237294788,0,0,1296145.207,0.648072604
58,47,76,76,-216921.6486,0.617941057,216921.6486,134044.7929,0.038205894,8287.685579,80000,0,0,0,0.370449222,0,0,244895.5061,0.122447753
68,76,76,76,-216856.5061,0.048878212,216856.5061,10599.55822,0.095112179,20625.69479,100000,0,0,0,0.674570411,0,0,964526.6121,0.482263306
54,76,90,90,-215237.8329,0.03495231,215237.8329,7523.059395,0.096504769,20771.47735,80000,0,0,0,0.937252109,0,0,712895.9973,0.356447999
28,76,90,90,-213611.6564,0.980153793,213611.6564,209372.2751,0.001984621,423.9381241,0,0,0,0,0.369581692,0,0,740424.2936,0.370212147
86,47,76,90,-213485.464,0.867258701,213485.464,185147.1262,0.01327413,2833.833774,130000,0,0,0,0.306440666,0,0,893146.1823,0.446573091
78,82,90,90,-211296.5376,0.315904723,211296.5376,66749.57421,0.068409528,14454.69634,130000,0,0,0,0.235840176,0,0,1471626.838,0.735813419
57,76,90,90,-210617.8272,0.760016163,210617.8272,160072.9528,0.023998384,5054.487434,80000,0,0,0,0.48345395,0,0,1971041.089,0.985520545
37,76,90,90,-208396.159,0.231234419,208396.159,48188.36468,0.076876558,16020.77943,20000,0,0,0,0.553926952,0,0,1562757.722,0.781378861
72,47,47,90,-207645.8259,0.035988235,207645.8259,7472.806836,0.096401176,20017.3019,130000,0,0,0,0.132618474,0,0,1896124.996,0.948062498
39,82,90,90,-207198.3545,0.419910292,207198.3545,87004.7216,0.058008971,12019.36329,20000,0,0,0,0.848696321,0,0,131542.6479,0.065771324
45,47,90,90,-206752.2473,0.444903219,206752.2473,91984.74047,0.055509678,11476.75069,40000,0,0,0,0.475688217,0,0,140900.5083,0.070450254
37,90,47,90,-206426.1935,0.291723089,206426.1935,60219.2868,0.070827691,14620.69067,20000,0,0,0,0.90210763,0,0,114109.736,0.057054868
81,90,47,90,-205601.5092,0.609199445,205601.5092,125252.3252,0.039080056,8034.918398,130000,0,0,0,0.349280124,0,0,1089648.254,0.544824127
66,82,47,90,-204288.0851,0.013075453,204288.0851,2671.1592,0.098692455,20161.69259,100000,0,0,0,0.110630133,0,0,1895529.789,0.947764894
38,82,76,76,-202618.5939,0.367730567,202618.5939,74509.05051,0.063226943,12810.95434,20000,0,0,0,0.011260595,0,0,577800.3043,0.288900152
82,47,76,90,-202589.9448,0.819899786,202589.9448,166103.4524,0.018010021,3648.649244,130000,0,0,0,0.986359066,0,0,130342.3272,0.065171164
68,82,90,90,-200579.7342,0.655201418,200579.7342,131420.1263,0.034479858,6915.960784,100000,0,0,0,0.942898505,0,0,8423.579467,0.00421179
70,90,90,90,-196854.6712,0.644884342,196854.6712,126948.4952,0.035511566,6990.617604,130000,0,0,0,0.771906858,0,0,1857943.517,0.928971759
66,47,47,90,-196258.4975,0.730213534,196258.4975,143310.611,0.026978647,5294.78865,100000,0,0,0,0.761065734,0,0,648919.2129,0.324459606
48,76,47,90,-195881.2845,0.121522012,195881.2845,23803.88784,0.087847799,17207.73967,40000,0,0,0,0.43026028,0,0,1577395.303,0.788697651
83,47,90,90,-194303.8797,0.708920528,194303.8797,137746.0089,0.029107947,5655.787077,130000,0,0,0,0.32299014,0,0,1759731.208,0.879865604
85,47,47,90,-194224.4126,0.277574416,194224.4126,53911.72794,0.072242558,14031.26846,130000,0,0,0,0.827555679,0,0,1349059.956,0.674529978
46,82,90,90,-192983.6344,0.79418675,192983.6344,153265.0455,0.020581325,3971.858893,40000,0,0,0,0.34094086,0,0,683462.8856,0.341731443
32,82,90,90,-192564.471,0.94392059,192564.471,181765.5691,0.005607941,1079.890194,20000,0,0,0,0.786602025,0,0,1613426.919,0.806713459
53,90,47,90,-190438.9819,0.743211065,190438.9819,141536.3585,0.025678894,4890.26234,80000,0,0,0,0.488666624,0,0,1807556.755,0.903778378
44,76,47,90,-190233.3224,0.155206737,190233.3224,29525.49319,0.084479326,16070.78292,40000,0,0,0,0.200116965,0,0,1179163.311,0.589581655
66,82,76,76,-189670.5726,0.200372925,189670.5726,38004.84734,0.079962708,15166.57252,100000,0,0,0,0.172888659,0,0,1567119.097,0.783559549
60,90,90,90,-189390.2208,0.323372617,189390.2208,61243.61144,0.067662738,12814.66094,100000,0,0,0,0.779199433,0,0,1699013.181,0.849506591
73,90,90,76,-188755.5072,0.78896703,188755.5072,148921.8719,0.021103297,3983.36353,130000,0,0,0,0.948425089,0,0,830728.3672,0.415364184
77,90,90,76,-188350.6684,0.542053438,188350.6684,102096.1273,0.045794656,8625.454111,130000,0,0,0,0.872365255,0,0,1457512.643,0.728756322
55,82,47,90,-187571.0041,0.450227532,187571.0041,84449.63032,0.054977247,10312.13737,80000,0,0,0,0.266521161,0,0,1565018.083,0.782509041
53,47,90,90,-186746.3197,0.975651981,186746.3197,182199.4168,0.002434802,454.6902933,80000,0,0,0,0.184335086,0,0,220162.3303,0.110081165
32,82,76,90,-185902.536,0.480295473,185902.536,89288.14648,0.051970453,9661.438955,20000,0,0,0,0.879540164,0,0,363347.0522,0.181673526
76,90,47,90,-184843.2021,0.792571763,184843.2021,146501.5025,0.020742824,3834.169957,130000,0,0,0,0.077537328,0,0,1014480.418,0.507240209
47,76,90,76,-184745.3177,0.807608945,184745.3177,149201.9711,0.019239106,3554.334658,40000,0,0,0,0.219674097,0,0,820159.7074,0.410079854
29,76,76,90,-184280.7933,0.966547917,184280.7933,178116.2169,0.003345208,616.4576431,0,0,0,0,0.418841932,0,0,1334904.57,0.667452285
81,90,90,90,-183648.126,0.236399648,183648.126,43414.35235,0.076360035,14023.37737,130000,0,0,0,0.882918242,0,0,120452.1249,0.060226062
65,82,90,90,-182415.8744,0.258115639,182415.8744,47084.39002,0.074188436,13533.14844,100000,0,0,0,0.571085821,0,0,1644081.929,0.822040965
40,47,47,90,-182367.7849,0.250253899,182367.7849,45638.24914,0.07497461,13672.95357,40000,0,0,0,0.929630073,0,0,865047.1479,0.432523574
50,90,47,90,-182319.6953,0.132894992,182319.6953,24229.37448,0.086710501,15809.03209,80000,0,0,0,0.507137676,0,0,261173.46,0.13058673
69,47,90,90,-181936.0023,0.866420961,181936.0023,157633.1659,0.013357904,2430.283641,100000,0,0,0,0.430339817,0,0,103486.1362,0.051743068
87,90,47,76,-181840.5053,0.147745033,181840.5053,26866.03138,0.085225497,15497.44739,130000,0,0,0,0.152652661,0,0,427456.6978,0.213728349
41,82,47,90,-180768.2111,0.597923142,180768.2111,108085.4967,0.040207686,7268.271441,40000,0,0,0,0.44240761,0,0,609649.8259,0.304824913
86,47,90,90,-180531.5151,0.328833956,180531.5151,59364.89232,0.067116604,12116.66227,130000,0,0,0,0.162831484,0,0,1218436.219,0.60921811
55,76,47,90,-179823.1324,0.850303839,179823.1324,152904.2999,0.014969616,2691.883249,80000,0,0,0,0.532014535,0,0,76333.68706,0.038166844
40,82,76,76,-179611.3338,0.169155692,179611.3338,30382.27941,0.083084431,14922.90544,40000,0,0,0,0.753540902,0,0,1555734.184,0.777867092
76,90,76,76,-178139.3166,0.173992774,178139.3166,30994.95387,0.082600723,14714.43628,130000,0,0,0,0.050394047,0,0,1575124.124,0.787562062
78,90,76,90,-177167.6352,0.315855565,177167.6352,55959.38352,0.068414444,12120.82517,130000,0,0,0,0.066391446,0,0,1647305.2,0.8236526
78,76,90,90,-176546.9051,0.000879184,176546.9051,155.2171645,0.099912082,17639.16879,130000,0,0,0,0.950137513,0,0,755191.1639,0.377595582
76,82,76,90,-176249.1593,0.325543324,176249.1593,57376.73714,0.067445668,11887.24221,130000,0,0,0,0.739764994,0,0,543780.0976,0.271890049
69,47,90,90,-175246.1003,0.860913051,175246.1003,150871.655,0.013908695,2437.444534,100000,0,0,0,0.983858668,0,0,998816.9904,0.499408495
27,90,90,90,-175019.2951,0.457325685,175019.2951,80040.81901,0.054267431,9497.847605,0,0,0,0,0.733443279,0,0,841934.6721,0.420967336
45,82,76,76,-174792.8309,0.201165396,174792.8309,35162.269,0.07988346,13963.05619,40000,0,0,0,0.566674903,0,0,1221416.223,0.610708111
32,90,47,90,-173958.2558,0.215417315,173958.2558,37473.62037,0.078458269,13648.46354,20000,0,0,0,0.186270614,0,0,959875.422,0.479937711
66,47,47,90,-173621.6291,0.402246246,173621.6291,69838.64856,0.059775375,10378.29805,100000,0,0,0,0.273582286,0,0,379179.3891,0.189589695
39,47,76,90,-173084.4588,0.648449617,173084.4588,112236.551,0.035155038,6084.79078,20000,0,0,0,0.825342757,0,0,528657.2689,0.264328634
70,82,76,90,-172883.5741,0.638223747,172883.5741,110338.4024,0.036177625,6254.51717,130000,0,0,0,0.100320205,0,0,1324004.741,0.66200237
88,47,47,90,-172660.8616,0.418930639,172660.8616,72332.92501,0.058106936,10032.79366,130000,0,0,0,0.568122566,0,0,305031.9402,0.15251597
68,76,90,76,-172282.9666,0.091756064,172282.9666,15808.00694,0.090824394,15647.49596,100000,0,0,0,0.95286805,0,0,697830.215,0.348915107
78,47,90,90,-171332.4309,0.289744038,171332.4309,49642.55029,0.071025596,12168.98806,130000,0,0,0,0.553613861,0,0,884355.2534,0.442177627
39,82,47,90,-171112.1058,0.436817778,171112.1058,74744.80985,0.056318222,9636.729597,20000,0,0,0,0.170785358,0,0,1032473.877,0.516236938
35,90,76,90,-169908.1622,0.412525682,169908.1622,70091.48048,0.058747432,9981.668173,20000,0,0,0,0.32815449,0,0,1128376.147,0.564188074
77,76,47,90,-169234.2266,0.933875351,169234.2266,158043.6728,0.006612465,1119.055379,130000,0,0,0,0.379110485,0,0,395651.1608,0.19782558
90,47,90,90,-168046.6539,0.394087149,168046.6539,66225.02666,0.060591285,10182.16273,130000,0,0,0,0.649054652,0,0,1533716.422,0.766858211
54,90,47,76,-167896.2462,0.889634476,167896.2462,149366.289,0.011036552,1852.995721,80000,0,0,0,0.912749844,0,0,106871.4246,0.053435712
53,90,90,90,-167853.2726,0.60401549,167853.2726,101385.9766,0.039598451,6646.729598,80000,0,0,0,0.444969459,0,0,1802660.558,0.901330279
37,82,90,90,-167339.2944,0.046074717,167339.2944,7710.11069,0.095392528,15962.91837,20000,0,0,0,0.744588075,0,0,858975.9018,0.429487951
63,90,90,90,-166997.5518,0.35747774,166997.5518,59697.90737,0.064252226,10729.96444,100000,0,0,0,0.812472292,0,0,1851320.153,0.925660077
50,76,47,76,-166869.6541,0.555239838,166869.6541,92652.67965,0.044476016,7421.697444,80000,0,0,0,0.899195875,0,0,1772222.542,0.886111271
59,82,90,90,-166678.3191,0.441374455,166678.3191,73567.55235,0.055862554,9311.076679,80000,0,0,0,0.974716994,0,0,274575.7305,0.137287865
66,82,90,90,-166126.1422,0.119497086,166126.1422,19851.5899,0.088050291,14627.45523,100000,0,0,0,0.859986091,0,0,364165.3373,0.182082669
44,82,90,90,-164860.8077,0.818502668,164860.8077,134939.0109,0.018149733,2992.17968,40000,0,0,0,0.540251891,0,0,1300447.804,0.650223902
27,90,76,90,-164169.8191,0.831572882,164169.8191,136519.1696,0.016842712,2765.064947,0,0,0,0,0.412679294,0,0,999191.8669,0.499595933
90,76,90,90,-163440.6317,0.256613,163440.6317,41940.99086,0.0743387,12149.96408,130000,0,0,0,0.907845009,0,0,1110458.849,0.555229424
55,47,90,90,-162385.0494,0.013163414,162385.0494,2137.541702,0.098683659,16024.75077,80000,0,0,0,0.398900402,0,0,1236349.058,0.618174529
28,82,90,90,-162220.3172,0.428583775,162220.3172,69524.99588,0.057141623,9269.53213,0,0,0,0,0.45117107,0,0,1883117.032,0.941558516
85,82,90,90,-161051.5028,0.172210907,161051.5028,27734.82539,0.082778909,13331.66774,130000,0,0,0,0.752784914,0,0,1769626.028,0.884813014
33,82,90,90,-158341.436,0.233851116,158341.436,37028.32152,0.076614888,12131.31144,20000,0,0,0,0.496823209,0,0,925376.2844,0.462688142
54,76,47,90,-158181.1375,0.449455916,158181.1375,71095.44803,0.055054408,8708.568949,80000,0,0,0,0.571788754,0,0,258665.5678,0.129332784
85,82,90,76,-158141.2334,0.395856731,158141.2334,62601.27173,0.060414327,9553.996172,130000,0,0,0,0.431172408,0,0,1537139.965,0.768569983
55,47,90,90,-157981.2761,0.238870063,157981.2761,37736.99735,0.076112994,12024.42787,80000,0,0,0,0.362540075,0,0,587125.2901,0.293562645
68,82,90,76,-157622.1393,0.537841907,157622.1393,84775.79197,0.046215809,7284.634737,100000,0,0,0,0.851801987,0,0,972672.3508,0.486336175
64,90,47,90,-157502.4271,0.234609701,157502.4271,36951.59737,0.07653903,12055.08297,100000,0,0,0,0.06683497,0,0,1450102.104,0.725051052
77,82,90,76,-156312.808,0.45915106,156312.808,71771.19154,0.054084894,8454.161649,130000,0,0,0,0.449521769,0,0,1339954.39,0.669977195
76,82,90,90,-155191.4011,0.052181782,155191.4011,8098.163926,0.094781822,14709.32371,130000,0,0,0,0.415633787,0,0,712355.8982,0.356177949
53,47,47,76,-154858.526,0.662942264,154858.526,102662.2618,0.033705774,5219.626422,80000,0,0,0,0.083961222,0,0,644659.5912,0.322329796
67,47,90,76,-154059.0802,0.051237102,154059.0802,7893.540765,0.09487629,14616.55394,100000,0,0,0,0.22986741,0,0,1876071.556,0.938035778
79,76,90,90,-152742.9276,0.13016239,152742.9276,19881.38454,0.086983761,13286.15431,130000,0,0,0,0.928287381,0,0,1854644.202,0.927322101
40,47,47,90,-151935.6374,0.992194452,151935.6374,150749.6966,0.000780555,118.594084,40000,0,0,0,0.054637986,0,0,458575.321,0.229287661
68,90,90,90,-150220.7851,0.044380935,150220.7851,6666.93896,0.095561906,14355.38462,100000,0,0,0,0.100455768,0,0,1315233.377,0.657616688
30,47,47,90,-148768.8905,0.229502496,148768.8905,34142.83176,0.07704975,11462.60588,20000,0,0,0,0.953419215,0,0,170623.9404,0.08531197
45,76,90,90,-147404.9895,0.156123976,147404.9895,23013.45303,0.084387602,12439.15365,40000,0,0,0,0.220595629,0,0,53723.43918,0.02686172
88,76,47,90,-146922.3889,0.196085959,146922.3889,28809.41748,0.080391404,11811.29714,130000,0,0,0,0.653239915,0,0,29227.45595,0.014613728
75,82,47,90,-146829.6205,0.91358704,146829.6205,134141.6384,0.008641296,1268.79821,130000,0,0,0,0.948148835,0,0,1649175.765,0.824587882
75,90,90,76,-146533.5799,0.331596054,146533.5799,48589.95692,0.066840395,9794.362302,130000,0,0,0,0.152318706,0,0,1951173.515,0.975586757
72,76,90,90,-146182.6287,0.075402002,146182.6287,11022.46289,0.0924598,13516.01658,130000,0,0,0,0.161007573,0,0,881408.0491,0.440704025
82,76,47,90,-142373.6649,0.082304925,142373.6649,11718.05381,0.091769507,13065.5611,130000,0,0,0,0.241004018,0,0,1290688.654,0.645344327
76,47,90,90,-142247.8135,0.429341272,142247.8135,61072.85724,0.057065873,8117.495628,130000,0,0,0,0.139917668,0,0,1463626.26,0.73181313
36,76,90,90,-141745.0903,0.993584912,141745.0903,140835.7832,0.000641509,90.9307166,20000,0,0,0,0.781961754,0,0,1325035.325,0.662517662
67,82,90,76,-141011.4692,0.203493084,141011.4692,28694.85868,0.079650692,11231.66105,100000,0,0,0,0.259111612,0,0,98993.99687,0.049496998
68,76,47,90,-140886.641,0.644659864,140886.641,90823.96279,0.035534014,5006.267823,100000,0,0,0,0.444816073,0,0,23601.2672,0.011800634
83,76,90,90,-140690.5312,0.976296435,140690.5312,137355.664,0.002370357,333.486719,130000,0,0,0,0.10067111,0,0,687911.1473,0.343955574
41,76,90,90,-140672.455,0.980712857,140672.455,137959.2852,0.001928714,271.3169799,40000,0,0,0,0.232514289,0,0,1678264.05,0.839132025
66,47,76,90,-140672.455,0.955246403,140672.455,134376.8566,0.00447536,629.5598421,100000,0,0,0,0.706073501,0,0,1000230.412,0.500115206
51,82,90,90,-140654.7199,0.31520361,140654.7199,44334.87553,0.068479639,9631.984435,80000,0,0,0,0.399965714,0,0,44091.94417,0.022045972
